RSI,EMA20,EMA50,MACD,Signal,volume,Target
62.70325390409116,62514.29825433068,62282.81728360689,318.2875884446257,229.23198029150512,1835.01045,1
63.728435070552585,62567.94318248966,62313.98405679878,322.17220589049975,247.82002541130407,1087.23984,0
55.39064272017289,62583.76002225255,62330.456054571376,294.1385334519073,257.0837270194247,782.87001,1
55.67098269440875,62599.53906775231,62346.88679752936,270.052909365244,259.6775634885886,633.18968,0
51.869427568531826,62597.91153749019,62356.12457017527,234.783740529645,254.69879889679987,564.46406,1
67.20385587237718,62697.55710534826,62406.63693997232,289.17281063817063,261.593601245074,1821.97042,0
63.45012828180503,62770.27738102938,62447.989216836155,313.8860386646411,272.0520887289874,793.20489,1
65.10748675947085,62849.839535217056,62493.3888553916,341.2030573330776,285.8822824498055,946.18552,0
60.75623380040347,62901.63291281543,62528.69399831742,341.8044473743503,297.06671543471447,556.54606,1
62.369919684342605,62960.52406397587,62567.56835132458,348.45722364743415,307.3448170772584,269.29173,0
61.93610895562866,63011.90367693055,62604.134690488325,348.10464410472923,315.4967824827526,226.24918,1
63.65278009444042,63070.38808865145,62644.207447724075,353.91108868972515,323.1796437241471,351.45962,1
63.96962814043901,63125.47493735131,62683.60323408784,356.24672374988586,329.7930597292949,1229.6005,0
58.60093096241642,63154.11541950833,62712.72467588832,336.2595805776509,331.0863638989661,745.50942,1
61.67961042642158,63198.872998602776,62748.46370820643,332.55262133356155,331.3796153858852,398.45121,0
59.29758627527435,63229.91557016442,62778.90905298265,317.94115615561896,328.691923539832,280.54894,1
62.08113338757472,63274.68551586304,62815.03026659117,316.8446389232631,326.3224666165182,742.01132,0
54.28105587368809,63282.63927625704,62836.33104045034,285.10868224351,318.0797097419166,603.70673,0
47.219820172340185,63253.85934518494,62841.98276435425,226.86132379363696,299.8360325522607,1027.41759,1
49.47491982303694,63239.28226469114,62852.132459869776,188.24118456603173,277.5170629550149,852.55681,1
55.736610244512825,63261.33252519674,62876.39432418861,185.35450927869533,259.084552219751,600.81984,1
59.824942513079534,63308.151332320864,62910.76827225965,203.48586614156375,247.9648150041136,524.52211,0
58.76983864196477,63345.66168162364,62941.79735962201,211.31042361370783,240.63393672603243,872.53513,1
59.731137769030575,63385.69485480234,62974.11942395056,220.1380920193624,236.53476778469843,380.80932,0
53.43183103210997,63393.29629720212,62993.38964261917,200.57415026289527,229.34264428033785,515.59574,0
49.04924596767293,63377.65855461144,63002.633186045874,164.10161298631283,216.29443802153284,851.49099,1
60.442960430289425,63436.92821607702,63041.74521796565,195.15165799199167,212.06588201562465,1065.08825,0
53.6252477470977,63451.794100260166,63063.36383686896,184.7898225065001,206.61067011379973,1669.96199,1
58.45472128781691,63502.3356145211,63099.407607972134,205.63374259614648,206.41528461026908,776.01025,0
56.54883074526751,63536.91698456671,63129.448093934014,210.2845205285339,207.1891317939221,456.29271,0
53.782634659709224,63551.87727175083,63151.58738436797,197.85576226440753,205.32245788801916,561.84193,0
52.10580453433778,63555.43848396504,63168.751408510405,177.5088347097335,199.75973325236205,462.65176,0
49.86343312261617,63545.30148549218,63179.74154935314,148.354987369632,189.47878407581604,328.72463,1
50.24155859343305,63538.32039163578,63191.20266506478,125.6577566915512,176.71457859896307,330.50626,1
50.76317290798752,63534.861306718085,63203.39079584656,108.83619126921984,163.13890113301443,711.15075,1
52.16734685202689,63539.16118226874,63218.160176401594,100.63962358768912,150.6390456239494,409.24822,1
52.54103857847348,63544.95630776696,63233.13467928781,94.66636259973892,139.4445090191073,578.94188,1
56.85821448667474,63572.854754646294,63256.8505742177,107.88382065647602,133.13237134658107,509.63359,0
52.69430163599538,63579.821920870454,63272.11172816995,101.70326704672334,126.84655048660952,450.79285,0
50.335555514650416,63575.267452216125,63282.30342510446,86.60712655991665,118.79866570127096,268.55023,0
49.91367292174895,63569.24293295744,63291.31152608075,72.19804638865753,109.47854183874828,144.15296,1
51.491148833509705,63570.65122505673,63302.79068192073,65.83129643808206,100.74909275861503,658.62782,1
54.72588799665493,63586.37396552752,63319.76908655129,72.19511005016102,95.03829621692424,299.54013,1
56.97163871308767,63611.1002545249,63340.40559296105,85.15393712458172,93.06142439845576,436.97737,0
55.88855708330468,63629.66213504634,63358.66419715866,91.14556589086716,92.67825269693805,227.43934,0
54.14592587385299,63640.46764599431,63373.7408953093,89.78509764917544,92.09962168738554,301.95833,1
56.46804718241479,63659.75739399485,63392.14360529718,95.66444478005724,92.81258630591988,188.76787,1
59.31713765965407,63689.42621361439,63414.85483646199,109.41294244920572,96.13265753457704,479.05156,1
62.63956487382032,63731.68276469873,63443.02209777721,131.84799968345033,103.27572596435172,878.04841,0
